english_id,hebrew_name,total_olim,avg_age,pct_employed,pct_female,pct_male,score,madad
hagalil_hatahton,הזורעים,2,18.0,0.0,50.0,50.0,0.594,7
hof_hacarmel,החותרים,5,23.2,40.0,40.0,60.0,1.043,8
emek_yizrael,היוגב,2,14.5,50.0,50.0,50.0,1.115,8
haifa,הילה,2,47.5,0.0,50.0,50.0,0.391,7
emek_hefer,המעפיל,2,24.5,50.0,0.0,100.0,1.241,8
emek_yizrael,הסוללים,2,56.0,0.0,0.0,100.0,1.115,8
emek_hefer,העוגן,4,31.0,25.0,50.0,50.0,1.241,8
har_adar,הר אדר,39,34.5,59.0,48.7,51.3,1.748,9
hod_hasharon,הר גילה,5,47.0,20.0,80.0,20.0,1.567,9
mate_yehuda,הראל,2,38.5,50.0,100.0,0.0,0.757,7
emek_yizrael,הרדוף,7,30.3,57.1,57.1,42.9,1.115,8
hertseliya,הרצליה,6143,33.6,49.4,52.7,47.3,1.361,8
misgav,הררית,5,32.8,60.0,40.0,60.0,0.619,7
megilot,ורד יריחו,1,20.0,100.0,100.0,0.0,0.576,7
hof_ashkelon,זיקים,6,38.8,16.7,66.7,33.3,0.648,7
emek_lod,זיתן,2,61.0,50.0,50.0,50.0,0.185,6
zihron_yaakov,זכרון יעקב,660,34.2,45.2,51.8,48.2,1.117,8
mate_yehuda,זכריה,4,43.8,75.0,25.0,75.0,0.757,7
emek_hefer,חבצלת השרון,2,56.0,100.0,0.0,100.0,1.241,8
jerusalem_yerushalayim,חברון,3,18.7,66.7,33.3,66.7,-1.196,2
petah_tikva,חבת ציון,12,24.7,41.7,58.3,41.7,0.55,7
drom_hasharon,חגור,4,49.8,50.0,50.0,50.0,1.416,8
emek_hefer,חגלה,4,19.0,25.0,75.0,25.0,1.241,8
golan,חד נס,5,50.8,60.0,40.0,60.0,0.207,6
hevel_modiin,חדיד,2,24.0,100.0,100.0,0.0,0.837,7
hadera,חדרה,4558,34.8,53.4,51.4,48.6,0.184,6
gezer,חולדה,6,16.7,33.3,66.7,33.3,1.162,8
holon,חולון,5456,33.8,58.0,51.3,48.7,0.371,7
hagalil_haelyon,חולתה,1,17.0,0.0,0.0,100.0,0.602,7
emek_hefer,חופית,4,50.0,75.0,50.0,50.0,1.241,8
emek_hayarden,חוקוק,38,24.0,50.0,55.3,44.7,0.475,7
drom_hasharon,חורשים,1,30.0,100.0,100.0,0.0,1.416,8
tel_aviv_yafo,חיננית,229,27.7,49.3,50.7,49.3,1.293,8
haifa,חיפה,36258,34.6,59.4,50.8,49.2,0.391,7
holon,חלוץ,4,21.2,50.0,75.0,25.0,0.371,7
arad,חלמיש,4,21.8,25.0,50.0,50.0,-0.876,3
ashkelon,חמד,9,29.4,33.3,22.2,77.8,-0.135,5
emek_hefer,חניאל,1,20.0,100.0,100.0,0.0,1.241,8
mate_asher,חניתה,11,23.4,36.4,54.5,45.5,0.52,7
emek_yizrael,חנתון,16,32.0,37.5,68.8,31.2,1.115,8
katsrin,חספין,15,18.6,26.7,20.0,80.0,-0.224,5
nahal_sorek,חפץ חיים,6,29.3,50.0,66.7,33.3,-0.057,5
hagilboa,חפצי בה,4,47.5,0.0,75.0,25.0,-0.098,5
beer_tuvya,חצב,5,32.0,40.0,20.0,80.0,0.856,7
haarava_hatihona,חצבה,5,26.4,60.0,100.0,0.0,0.792,7
beer_tuvya,חצור אשדוד,51,18.7,21.6,60.8,39.2,0.856,7
